sno,Hotel_Name,Room_type,Single_Bed,Double_bed,price
952,MEININGER Hotel Berlin Airport,Twin Room,single bed,double bed,7336
953,Berlin Marriott Hotel,"Deluxe Room, 1 King",,double bed,20241
954,Michelberger Hotel,Small Double Room,single bed,double bed,10673
955,Novum Hotel Kronprinz Berlin,Standard Double or Twin Room,single bed,double bed,6996
956,Space Night Capsule Hostel,Double Capsule with Shared Bathroom,single bed,double bed,6633
957,Gold Palais Hotel,Standard Double or Twin Room,single bed,double bed,14326
958,Aeronaut Serviced Apartments Neukölln-Kreuzberg powered by Pearl 1,Deluxe Double Room,,double bed,16518
959,Hotel Augusta Am Kurfürstendamm,Double Room with Balcony,single bed,double bed,19622
960,Scandic Berlin Kurfürstendamm,Standard Double Room,single bed,double bed,9546
961,Ibis budget Berlin Potsdamer Platz,Double Room,single bed,double bed,8750
962,Ibis Berlin Hauptbahnhof,Double Room,single bed,double bed,9634
963,"Provocateur Berlin, a Member of Design Hotels",Petite,,double bed,12728
964,Meliá Berlin,Melia Room,single bed,double bed,13081
965,Hotel Gat Point Charlie,Standard Double Room,single bed,double bed,8750
966,Grimm's Potsdamer Platz,Double Room,single bed,double bed,10341
967,Moxy Berlin Ostbahnhof,"Moxy Sleeper, Guest room, 1 Queen",single bed,double bed,8308
968,Estrel Berlin,Double or Twin Room,,double bed,11137
969,"Holiday Inn Berlin City Center East Prenzlauer Berg, an IHG Hotel",Double Room with Courtyard View,single bed,double bed,12569
970,TITANIC Comfort Kurfürstendamm,Classic Double or Twin Room,single bed,double bed,9466
971,"Holiday Inn Berlin City-West, an IHG Hotel",Business Queen Room - Non-Smoking,single bed,double bed,8390
972,Motel One Berlin-Upper West,Room with Queen Size Bed,,double bed,12286
973,ibis Berlin Kurfuerstendamm,Double Room,single bed,double bed,7875
974,Select Hotel Berlin Gendarmenmarkt,Standard Double Room,,double bed,10169
975,Locke at East Side Gallery,City Studio,,double bed,10465
976,NH Collection Berlin Mitte Friedrichstrasse,Superior Double or Twin Room,single bed,double bed,12728
977,Locke at East Side Gallery,City Studio,,double bed,10465
978,NH Collection Berlin Mitte Friedrichstrasse,Superior Double or Twin Room,single bed,double bed,12728
979,ibis budget Berlin Kurfürstendamm,Standard Double Room,single bed,double bed,7682
980,Sheraton Berlin Grand Hotel Esplanade,Classic Double Room,single bed,double bed,14053
981,Arte Luise Kunsthotel,Comfort Double Room,single bed,double bed,11945
982,Nena Hostel Berlin,Twin Room with Private Bathroom,single bed,double bed,5392
983,Mövenpick Hotel Berlin Am Potsdamer Platz,Classic King Room,single bed,double bed,11194
984,Grand Hyatt Berlin,Twin Room,single bed,double bed,18031
985,H2 Hotel Berlin-Alexanderplatz,Double or Twin Room,single bed,,12109
986,NH Collection Berlin Mitte am Checkpoint Charlie,Superior Double or Twin Room,single bed,double bed,11314
987,Quentin XL Potsdamer Platz,Classic Double Room,single bed,double bed,8671
988,Hotel Zoo Berlin,Petit Room,single bed,double bed,12772
989,a&o Berlin Mitte,Twin Room,single bed,,6640
990,IntercityHotel Berlin Hauptbahnhof,Standard Double Room,single bed,double bed,10965
991,TWO Hotel Berlin by Axel - Adults Only,City Double Room,single bed,double bed,8750
992,ibis Berlin Messe,Double Room,single bed,double bed,7433
993,Courtyard by Marriott Berlin City Center,Deluxe King Room,single bed,double bed,12021
994,B&B Hotel Berlin Potsdamer Platz,Double Room,single bed,double bed,8485
995,Hotel Indigo Berlin - East Side Gallery,Queen Room - Non-Smoking,,double bed,14504
996,Classik Hotel Hackescher Markt,Classic Double Room,single bed,double bed,9972
997,aletto Hotel Potsdamer Platz,Double or Twin Room,single bed,double bed,8183
998,The Westin Grand Berlin,Deluxe Double Room with City View,single bed,double bed,21124
999,Vienna House Easy by Wyndham Berlin Prenzlauer Berg,Comfort Room,single bed,double bed,9466
1000,Hotel am Schloß Köpenick by Golden Tulip,Standard King Room,single bed,double bed,6275
1001,a&o Berlin Friedrichshain,Double room,single bed,,7202
1002,Habyt-The Waterfront,Budget Double Room,,double bed,7557
1003,Hotel Adlon Kempinski Berlin,Deluxe Double Room,,double bed,38974
1004,ABACUS Tierpark Hotel,Double or Twin Room,single bed,,7248
1005,TITANIC Comfort Mitte,Standard Double Room,single bed,double bed,10262
1006,enjoy hostel Berlin City West,Economy Twin Room,single bed,,6541
1007,Amstel House Hostel,Twin Room with Shared Bathroom,single bed,,7257
1008,Hotel ROMY by AMANO,Standard Double Room,,double bed,10673
1009,H10 Berlin Ku'damm,Basic Deluxe Room,single bed,double bed,10894
1010,Motel One Berlin-Hauptbahnhof,Room with Queen Size Bed,,double bed,11402
1011,"The Hoxton, Charlottenburg",Cosy,single bed,double bed,15936
1012,AMANO East Side,Comfort Room,single bed,double bed,12343
1013,ibis budget Berlin Alexanderplatz,Standard Room,single bed,double bed,8724
1014,"Lindner Hotel Berlin Ku'damm, part of JdV by Hyatt",Queen Room,single bed,double bed,14053
1015,"Nena Apartments SPREEblau ""New Opening 2023""","Studio ""Spree""",,double bed,9369
1016,Good Morning + Berlin City East,Standard Twin Room+,single bed,,6275
1017,EASY Lodges Berlin,Double-bed Cottage with Shared Bathroom,,double bed,5091
1018,AC Hotel by Marriott Berlin Humboldthain Park,Deluxe King Room,single bed,double bed,9457
1019,martas Hotel Allegra Berlin,Double Room,single bed,double bed,10014
1020,Victor's Residenz-Hotel Berlin,Comfort Room,,double bed,9104
1021,"The Ritz-Carlton, Berlin",Deluxe King Room,single bed,double bed,36681
1022,Grand Hostel Berlin Urban,Double Room,single bed,double bed,9162
1023,H24 Berlin Lichtenberg,Standard Double Room,single bed,double bed,10500
1024,"Crowne Plaza Berlin City Centre Ku'damm, an IHG Hotel",Standard Room,single bed,double bed,11932
1025,NH Berlin Kurfürstendamm,Classic Standard Double or Twin Room,single bed,double bed,9811
1026,Hotel Berliner Bär,Double or Twin Room,single bed,double bed,8662
1027,acom-Hotel Berlin Kurfürstendamm,Standard Double or Twin Room,single bed,double bed,8750
1028,the niu Dwarf,Superior Double Room,,double bed,13446
1029,Novum Hotel Gates Berlin Charlottenburg,Double Room with Queen-Size-Bed,single bed,double bed,8794
1030,Steps-Hotel,Twin Room with Shared Bathroom,single bed,double bed,6602
1031,Yggotel Spurv,Standard Room,single bed,double bed,6076
1032,harry's home hotel & apartments,Standard Double Room,,double bed,10518
1033,ibis Berlin City Potsdamer Platz,Standard Double Room,single bed,double bed,8302
1034,Motel Blue,Twin Room,single bed,double bed,8750
1035,Generator Berlin Prenzlauer Berg,Twin Room - Shared Bathroom,single bed,double bed,5505
1036,Pegasus Hostel Berlin,Comfort Double Room,single bed,double bed,8485
1037,icke.apartments,Standard Studio,single bed,double bed,3867
1038,Motel One Berlin-Alexanderplatz,King Room,,double bed,11402
1039,MOXY Berlin Humboldthain Park,"Moxy Sleeper Queen, Guest Room, 1 Queen",single bed,double bed,10960
1040,25hours Hotel Bikini Berlin,Medium Urban,single bed,double bed,12648
1041,Select Hotel Berlin The Wall,Comfort Double Room,,double bed,8977
1042,H+ Hotel Berlin Mitte,Comfort Double or Twin Room,single bed,double bed,12153
1043,Come Inn Berlin Kurfürstendamm,Twin Standard,single bed,,7496
1044,"Holiday Inn Berlin City East Side, an IHG Hotel",Double Room - Non-Smoking,single bed,double bed,10518
1045,"Hotel Luc, Autograph Collection",Luc Queen Room,,double bed,21655
1046,Leonardo Royal Hotel Berlin Alexanderplatz,Comfort Double or Twin Room,single bed,double bed,11057
1047,Wyndham Garden Berlin Mitte,Standard Double Room,single bed,double bed,8678
1048,Grand Hostel Berlin Classic,Twin Room with Shared Bathroom,single bed,double bed,7578
1049,"Max Brown Hotel Ku'damm, part of Sircle Collection",Small Double Room,,double bed,8806
1050,Hyperion Hotel Berlin,Comfort Double or Twin Room,single bed,double bed,12197
1051,Park Plaza Wallstreet Berlin Mitte,Superior Double Room,single bed,double bed,11402
1052,Pestana Berlin Tiergarten,Comfort Double Room,single bed,double bed,12172
1053,Yggotel Ravn,Standard Double Room,single bed,,8202
1054,Select Hotel Berlin Spiegelturm,Comfort Room,single bed,double bed,8612
1055,Motel One Berlin Mitte,Double Room,,double bed,10518
1056,ARCOTEL John F Berlin,Comfort Double Room,single bed,double bed,13619
1057,Motel One Berlin-Potsdamer Platz,Room with King Size bed,,double bed,11402
1058,H4 Hotel Berlin Alexanderplatz,Comfort Double or Twin Room,single bed,double bed,10430
1059,Nena Apartments Moritzplatz,Studio,single bed,double bed,9546
1060,Hotel Kiez Pension Berlin,Double Room,single bed,,16793
1061,TITANIC Gendarmenmarkt Berlin,Classic Double Room,single bed,double bed,15839
1062,"Sir Savigny Hotel, Berlin, a Member of Design Hotels",Small Double Room,,double bed,8662
1063,Hotel Columbia,Double Room,single bed,double bed,6983
1064,City Hotel Berlin East,Standard Room,single bed,,8682
1065,Ballhaus Berlin Hostel,Triple Room with Shared Bathroom,single bed,,6571
1066,Hotel Berlin Mitte by Campanile,Standard Double or Twin Room,single bed,double bed,8397
1067,Dorint Kurfürstendamm Berlin,Standard Room with Kingsize Bed,single bed,double bed,12367
1068,BNB near Brandenburg Gate - Rooms & Apartments,Family Room with Shared Bathroom,single bed,double bed,7796
1069,Hotel Garni Aaberna,Double Room with Shower,single bed,double bed,9723
1070,NH Berlin Alexanderplatz,Standard Double or Twin Room,single bed,double bed,10341
1071,ibis Hotel Berlin Mitte,Double Room,single bed,double bed,9104
1072,SANA Berlin Hotel,Deluxe Double Room,single bed,double bed,13125
1073,Mercure Hotel MOA Berlin,Superior Double Room,single bed,double bed,11844
1074,Mercure Hotel Berlin Mitte,Standard Double Room,single bed,double bed,8839
1075,greet Berlin Alexanderplatz,Superior Twin Room,single bed,,11579
1076,Hotel Prens Berlin,Standard Double Room,single bed,double bed,7087
1077,Summer Nightscape,One-Bedroom Apartment,,double bed,8353
1078,Hotel Bristol Berlin,Economy Room,single bed,double bed,14111
1079,Hotel Transit Loft,Double or Twin Room,single bed,double bed,10164
1080,BNB Potsdamer Platz - Rooms & Apartments,Double or Twin Room with Shared Bathroom,single bed,double bed,6983
1081,INNSiDE by Meliá Berlin Mitte,The Innside Room - Inner Courtyard,single bed,double bed,11933
1082,Mercure Hotel Berlin City,Standard Queen Room,single bed,double bed,9634
1083,The Weinmeister Berlin-Mitte - Adults Only,Standard Room,,double bed,11490
1084,Hotel Kaiser,Double Room,single bed,double bed,11490
1085,Living Hotel Weißensee,Business Double Room,single bed,double bed,10021
1086,Grünau Hotel,Double Room,single bed,double bed,10465
1087,Hotel & Apartments Zarenhof Berlin Prenzlauer Berg,Comfort Room,single bed,double bed,7919
1088,Hotel Pankow,Double or Twin Room,single bed,double bed,8074
1089,Nena Apartments - Bergmannkiez ehm Traumbergflats,Comfort Apartment,,double bed,9546
1090,NEW! limehome Berlin Stresemannstr,Suite - Wheelchair accessible,,double bed,9546
1091,acom Hotel Berlin-City South,Standard Double Room,single bed,double bed,7690
1092,Nena Apartments - Kreuzberg 61,Studio,single bed,double bed,10253
1093,Hotel Astrid am Kurfürstendamm,Comfort Double Room,single bed,double bed,15637
1094,B&B Hotel Berlin-Tiergarten,Double Room,single bed,double bed,8485
1095,Vienna House by Wyndham Andel's Berlin,Accessible Room,single bed,double bed,11853
1096,nhow Berlin,Nhow Double/Twin Room,single bed,double bed,10341
1097,Hotel-Pension Cortina,Double Room with Shower,single bed,double bed,8397
1098,Leonardo Hotel Berlin KU'DAMM,Comfort Double Room,single bed,double bed,9466
1099,a&o Berlin Kolumbus,Twin Room,single bed,,5548
1100,NH Berlin Potsdamer Platz,Standard Double or Twin Room,single bed,double bed,10695
1101,Best Western Hotel Kantstrasse Berlin,Standard Double Room,single bed,double bed,8733
1102,Hotel 38,Double Room,single bed,double bed,11853
1103,Hotel M68,Double Room with Private Bathroom in Hallway,single bed,double bed,6885
1104,Aspria Berlin Ku'damm,Deluxe Double or Twin Room,single bed,double bed,13457
1105,Happy Go Lucky Hotel + Hostel,Twin Room with Shared Bathroom,single bed,double bed,7336
1106,Hotel Lützow,Twin Room with Bunk Bed,single bed,double bed,9015
1107,Hotel Vivaldi Berlin am Kurfürstendamm,Triple Room (3 Adults),single bed,double bed,7955
1108,MEININGER Hotel Berlin East Side Gallery,Twin Room,single bed,,8662
1109,fjord hotel berlin,Lovely M,single bed,double bed,9104
1110,acama Hotel & Hostel Kreuzberg,Double or Twin Room,single bed,double bed,7064
1111,SO/Berlin Das Stue,SO Stue Room with King Bed and View,,double bed,31488
1112,Hotel City Green Berlin,Doppelzimmer comfort,single bed,,8132
1113,Hotel Steglitz International,Double Room,single bed,double bed,12264
1114,Upper Room Hotel Kurfürstendamm,Twin Room,single bed,double bed,7513
1115,"Wilde Aparthotels by Staycity, Berlin, Checkpoint Charlie",One Bedroom Apartment,single bed,double bed,20903
1116,Art Apartments,Superior Queen Room with Two Queen Beds,,double bed,10032
1117,Hotel am Borsigturm,Double Room,single bed,double bed,8890
1118,Quentin Boutique Hotel,Economy Double Room,single bed,double bed,6684
1119,Heart of Gold Hostel Berlin,Triple Room with Shared Bathroom,single bed,,7578
1120,"Hotel Indigo Berlin – Ku’damm, an IHG Hotel",Standard Double Room with Working Desk,,double bed,10359
1121,Hotel Residenz Begaswinkel,Double Room,single bed,double bed,13170
1122,Quentin Design Hotel Berlin,Small Double Room,single bed,double bed,9705
1123,Hotel Central Inn am Hauptbahnhof,Economy Double Room with Shared Toilet,single bed,double bed,8662
1124,Novotel Berlin Am Tiergarten,Standard Double Room,,double bed,10430
1125,Mercure Hotel Berlin Zentrum Superior,Standard Double or Twin Room,single bed,double bed,10083
1126,Nena Apartments Hermannplatz,Standard Triple Studio,,double bed,10960
1127,Pullman Berlin Schweizerhof,Superior Double or Twin Room,single bed,double bed,12639
1128,Hotel MANI by AMANO,Double Room,single bed,double bed,7796
1129,PREMIUM Hostel,Double Room with Private Bathroom,single bed,double bed,6629
1130,Park Plaza Berlin Kudamm,Double Room,single bed,double bed,9634
1131,Hotel Domicil Berlin by Golden Tulip,Standard Twin Room,single bed,double bed,10253
1132,Die Fabrik - baxpax Hotel,Triple Room with Shared Bathroom,single bed,double bed,6162
1133,"Hotel am Steinplatz, Autograph Collection","Deluxe Room, 1 King",single bed,double bed,22539
1134,Müggelseeperle,Double Room,single bed,double bed,9625
1135,Classik Hotel Alexander Plaza,Double Room,single bed,double bed,11801
1136,Motel Plus Berlin,Standard Twin Room,single bed,double bed,6983
1137,New Berlin,Design Double Room,single bed,double bed,12091
1138,M-Pire Hotel Berlin,Double Room,single bed,double bed,10164
1139,Hotel Arena Rooms - Berlin Mitte,Double Room,single bed,double bed,7159
1140,Leonardo Boutique Hotel Berlin City South,Comfort Room,single bed,double bed,7875
1141,Hotel BIRGIT Berlin Mitte,Twin Room,single bed,double bed,10111
1142,about:berlin Hotel,Small Double Room,single bed,double bed,14053
1143,Capri by Fraser Berlin,Deluxe Studio,single bed,double bed,14053
1144,CLUB Lodges Berlin Mitte,Twin-Bed Cottage with Shared Bathroom,single bed,double bed,6284
1145,Hotel Messe am Funkturm,Double or Twin Room,single bed,double bed,6214
1146,limehome Berlin Luise Henriette Str - Digital Access,Suite,single bed,double bed,11490
1147,relexa hotel Stuttgarter Hof,Standard Double Room,single bed,double bed,11579
1148,Pension Marie Prenzlauer Berg,Triple Room,single bed,double bed,8384
1149,Lux 11 Berlin-Mitte,Standard Room,,double bed,12343
1150,Rocco Forte Hotel De Rome,Classic Double or Twin Room,,double bed,32615
1151,Campanile Hotel - Birmingham,Twin Room,single bed,double bed,5900
1152,Oriental Suite 2 BED 2 BATH Netflix and FREE Parking,Two-Bedroom Apartment,single bed,double bed,10578
1153,"Holiday Inn Express - Birmingham - City Centre, an IHG Hotel",Standard Double Room,single bed,double bed,6865
1154,"Birmingham Strathallan Hotel, BW Signature Collection",Cozy Double Room- Non Smoking,single bed,double bed,4321
1155,ibis budget Birmingham Centre,Standard Triple Room,single bed,double bed,3962
1156,Hampton by Hilton Birmingham Broad Street,Double Room,single bed,double bed,6527
1157,Hampton by Hilton Birmingham Jewellery Quarter,Double Room,single bed,double bed,5581
1158,Superb 1 Bedroom Serviced Apartment In City Centre,One-Bedroom Apartment,,double bed,8157
1159,"Holiday Inn Express Birmingham Star City, an IHG Hotel",Double Room - Non-Smoking,single bed,double bed,6591
1160,Haya Guest House,Double Room,,double bed,6408
1161,Bloc Hotel Birmingham,Standard Double Room - No Window,,double bed,6001
1162,"Holiday Inn Express Birmingham - Snow Hill, an IHG Hotel",Standard Double Room - Disability Access,single bed,double bed,6051
1163,Peter Scott House Birmingham,Standard Double Room,,double bed,7120
1164,Aparthotel Adagio Birmingham City Centre,Studio with Double Bed,single bed,double bed,8137
1165,"Holiday Inn Birmingham City, an IHG Hotel",Standard Double Room,single bed,double bed,7781
1166,Wray And Whyte House,Double or Twin Room,single bed,double bed,5798
1167,Leonardo Royal Hotel Birmingham - formerly Jurys Inn,Deluxe Double or Twin Room,,double bed,9663
1168,The Fountain Inn,Family Room,single bed,double bed,6408
1169,Aloft Birmingham Eastside,"Aloft, Guest room, 1 King",single bed,double bed,8239
1170,Best Western Plough and Harrow Hotel,Family Room with sofa bed,single bed,double bed,6485
1171,"Staybridge Suites Birmingham, an IHG Hotel",Queen Studio,,double bed,9063
1172,"Radisson Blu Hotel, Birmingham",Standard Room,single bed,double bed,9867
1173,The President,Two-Bedroom Apartment,single bed,double bed,30261
1174,The Bournbrook Inn,Double Room,single bed,double bed,5218
1175,Selina Birmingham,Small Room Shared Bathroom,single bed,double bed,5383
1176,Hilton Garden Inn Birmingham Brindley Place,Queen Room,single bed,double bed,10311
1177,Staycity Aparthotels Birmingham Jewellery Quarter,One-Bedroom Apartment (3 Adults),single bed,double bed,9358
1178,Absolute Stays at The Qube -Utilita-City Center-The Rep-ICC-NIA-Edgbaston Cricket-Free WIFI- Contractors-Seaworld-BrindleyPlace,One-Bedroom Apartment,,double bed,9246
1179,Novotel Birmingham Centre,Standard Double Room with Sofa Bed,single bed,double bed,6307
1180,Aparthotel Adagio Birmingham City Centre,Studio with Double Bed,single bed,double bed,8137
1181,Castle Bromwich Hall; Sure Hotel Collection by Best Western,Accessible Double Room,single bed,double bed,9979
1182,ibis Birmingham Centre New Street Station Hotel,Double Room,single bed,double bed,4984
1183,3 Floor Townhouse Luxury Living Alara Boutique,Two-Bedroom Apartment,single bed,double bed,15380
1184,Absolute Stays on Essex - Chinatown - Hippodrome - Alexandra Theatre - Bull Ring - The Rep - B'Ham Intl Airport - Free WiFi - Free Parking - Contractors - Corporates,Two-Bedroom Apartment,single bed,double bed,12359
1185,"Modern 2 Bedroom Apartment in Birmingham City Centre - Perfect for Family, Business and Leisure Stays",Two-Bedroom Apartment,,double bed,6088
1186,The President,Two-Bedroom Apartment,single bed,double bed,30261
1187,Kunda House Moseley Apartments,Deluxe Apartment,,double bed,5608
1188,Cosy 2 bedroom apartment in Birmingham,Two-Bedroom Apartment,,double bed,11024
1189,KCS Birmingham City Apartment with Balcony/Parking,Two-Bedroom Apartment,,double bed,19530
1190,City View Apartments,Deluxe Family Room,single bed,double bed,15054
1191,KCS Luxury Apartment - Broad Street Birmingham,Deluxe Apartment,,double bed,22378
1192,Lovely Holiday Home in Birmingham City Center 3 Bedrooms House By HF Group,Three-Bedroom House,,double bed,12816
1193,The Blue Piano Guesthouse,Basic Double Room,single bed,double bed,8748
1194,"Crowne Plaza Birmingham City, an IHG Hotel",Standard Double Room - Disability Access,,double bed,9155
1195,One Bedroom Apartment/Studio,Studio Apartment,,double bed,9155
1196,Delta Hotels by Marriott Birmingham,Deluxe Double Room,,double bed,8544
1197,The Grand Hotel Birmingham,Double Room,single bed,double bed,14556
1198,Comfort Inn Birmingham,Double Room,single bed,double bed,4781
1199,Charming Oasis in West Midlands with Netflix,One-Bedroom Apartment,,double bed,5701
1200,OneFiveSix - Unique Apartments,Two-Bedroom Apartment,single bed,double bed,9053
1201,City Centre Apartment room,Double Room with Shared Bathroom,single bed,double bed,5493
1202,Birmingham Central Backpackers,Twin Room,single bed,double bed,4476
1203,Hotel at Conference Aston,City Double Room,single bed,double bed,7781
1204,pentahotel Birmingham,penta Standard Double or Twin Room,,double bed,6510
1205,Staycity Aparthotels Birmingham Jewellery Quarter,One-Bedroom Apartment (3 Adults),single bed,double bed,9358
1206,The Moseley Arms,Double Room,single bed,double bed,5086
1207,Harold's House,Budget Double Room,single bed,double bed,2543
1208,Edgbaston Park Hotel Birmingham,Standard Double Room,single bed,double bed,11087
1209,FREE Extra Guest. Heart of Birmingham City Centre,Budget Double Room,single bed,,2950
1210,Bournville House & Cafe,Deluxe Double Room,single bed,double bed,8137
1211,Absolute Stays at The Qube -Utilita-City Center-The Rep-ICC-NIA-Edgbaston Cricket-Free WIFI- Contractors-Seaworld-BrindleyPlace,One-Bedroom Apartment,,double bed,9246
1212,Top Rated Luxury Apartment in city centre,Two-Bedroom Apartment,,double bed,8788
1213,Clayton Hotel Birmingham,Deluxe Double Room,single bed,double bed,10070
1214,Birmingham Great Barr Hotel,Standard Twin Room,single bed,double bed,9160
1215,Macdonald Burlington Hotel,Standard Double Room,single bed,double bed,10579
1216,Paradise,One-Bedroom Apartment,,double bed,6225
1217,Normanton,Budget Double Room,,double bed,6317
1218,AC Hotel by Marriott Birmingham,"Deluxe, Guest room, 1 King",single bed,double bed,9561
1219,Summerfield House,Budget Double Room,single bed,double bed,3052
1220,Malmaison Birmingham,Standard Double Room,single bed,double bed,9053
1221,"Holiday Inn Birmingham M6, Jct7, an IHG Hotel",Double Room - Disability Access,single bed,double bed,8315
1222,Vicarage Lodge Birmingham,Double Room with Shared Bathroom,single bed,double bed,3458
1223,Lana house,Double Room with Shared Bathroom,,double bed,5676
1224,The Station Inn,Family Room,single bed,double bed,4069
1225,City View Apartments,Deluxe Double Studio,single bed,double bed,8854
1226,Naps Inn,Standard Apartment,single bed,double bed,6866
1227,Homestay BedSpace,Double Room,single bed,double bed,7247
1228,"Pristine 1 and 2 bedroom apartments near business district, walking distance to city centre, free internet & complimentary parking by Sojo Stay",One-Bedroom Apartment,,double bed,12206
1229,The Saltley Inn,Family Room,single bed,double bed,4069
1230,3 Floor Townhouse Luxury Living Alara Boutique,Two-Bedroom Apartment,single bed,double bed,15380
1231,"2 Bed Apartment, Free Parking In Birmingham!",One-Bedroom Apartment,,double bed,8972
1232,The Cube Hotel Birmingham,Standard Double Room,single bed,double bed,9979
1233,The Spires Serviced Apartments Birmingham,One-Bedroom Suite,,double bed,8188
1234,Double Room with its own bathroom in a shared 2 bedroom flat for rent in bham,Double Room,,double bed,6408
1235,The High Field Town House,King Room,,double bed,9338
1236,Absolute Stays on Essex - Chinatown - Hippodrome - Alexandra Theatre - Bull Ring - The Rep - B'Ham Intl Airport - Free WiFi - Free Parking - Contractors - Corporates,Two-Bedroom Apartment,single bed,double bed,12359
1237,Ensuite Rooms Birmingham Underwood Close,Double Room with Private Bathroom,,double bed,5950
1238,Central Arcadian One Bedroom - Sofa Bed - Balcony - City Centre,Apartment with Balcony,,double bed,7446
1239,Edgbaston House,Deluxe King Suite,,double bed,13223
1240,Johal Mini Hotel Birmingham City - FREE BREAKFAST,Double Room,,double bed,5767
1241,Shanahans B&B with Sports Bar,Standard Double Room with Shared Bathroom,single bed,double bed,4577
1242,Augusta House,One-Bedroom Apartment,,double bed,8239
1243,Royal George Hotel,Double Room,single bed,double bed,4476
1244,Beautiful 1 bed apartment,One-Bedroom Apartment,single bed,double bed,6784
1245,The Rollason Hotel,Economy Double or Twin Room,single bed,double bed,5218
1246,Hotel du Vin Birmingham,Classic Room,,double bed,11087
1247,Stylish 2 Bed/Bath Apartment,Two-Bedroom Apartment,,double bed,14647
1248,Staying Cool At Rotunda,Studio Apartment,,double bed,15156
1249,Quality City Birmingham - Florence Street,Two-Bedroom Apartment,,double bed,11672
1250,easyHotel Birmingham,Double Room - No Window,single bed,double bed,6204
1251,Premium ArcadianPlus Two Bedroom Apart - En Suite - Balcony - Brand New,Deluxe Apartment,single bed,double bed,13061
1252,Luxury 2 Bed Penthouse - 4K Projector - Snug Room - En Suite,Penthouse Apartment,,double bed,10619
1253,THE PORT House,Budget Double Room,,double bed,3560
1254,Ababeel Hotel,Budget Double Room,single bed,double bed,9053
1255,"Modern 2 Bedroom Apartment in Birmingham City Centre - Perfect for Family, Business and Leisure Stays",Two-Bedroom Apartment,,double bed,6088
1256,In the Heart of Birmingham Luxury 3 bedroom 2 bed Apartment,Two-Bedroom Apartment,,double bed,6926
1257,"SHM Stays Great for long term stays & Short Stays, 15 min drive to City Centre & Airport 2 min walk to Shops and Train Station",Small Double Room,single bed,double bed,5127
1258,Birmingham City Centre apartment Brindley Place ICC Utilita Arena,Two-Bedroom Apartment,,double bed,12359
1259,JR Property,Standard Twin Room,single bed,double bed,4882
1260,I bed apartment,One-Bedroom Apartment,single bed,double bed,7415
1261,Kunda House Moseley Apartments,Deluxe Apartment,,double bed,5608
1262,The Wellington Hotel Birmingham - Breakfast Included City Centre Near O2 Academy,Standard Double Room,single bed,double bed,4577
1263,OYO Adnans Hotel,Standard Double Room,single bed,double bed,5081
1264,Woodlands Hotel,Double Room,single bed,double bed,9765
1265,"Luxury 4 Bed House with En-suite, Games room, BBQ, On-site parking",Four-Bedroom House,single bed,double bed,20140
1266,A Home Away From Home,Double Room with Private Bathroom,,double bed,9155
1267,Beautiful flat with free parking,One-Bedroom Apartment,,double bed,7049
1268,Saint Pauls House,Standard Double Room,,double bed,8137
1269,Silver Forge - Luxury 2 Bed - 2x En Suite - Siena Suite - Brand New!,Superior Apartment,,double bed,9765
1270,Toby Carvery Birmingham by Innkeeper's Collection,Double or Twin Room,single bed,double bed,7324
1271,Spacious 2 Bedroom Apartment at The PostBox,Two-Bedroom Apartment,,double bed,18258
1272,K Suites - Madeley Road,Three-Bedroom House,single bed,double bed,15380
1273,VIKKY LODGE,Double Room with Shared Bathroom,,double bed,4882
1274,Mica Point City Centre Apartment,Two-Bedroom Apartment,single bed,double bed,9663
1275,Old Farm Hotel,Standard Double Room,single bed,double bed,11189
1276,Spacious Flat at City Center,Two-Bedroom Apartment,,double bed,11901
1277,Birmingham City - Central - NEC - Airport - 3 Bed Town House - Sleeps upto 8 - with upto 40 percent off Monthly Stays - Serviced Accommodation - Great Value for Long Term Stay,Three-Bedroom Townhouse,single bed,double bed,21986
1278,Modern 2 Bedroom Loft Apartment near NEC / Birmingham Airport/ City Centre,Two-Bedroom Apartment,single bed,double bed,24412
1279,Apartment In Birmingham City Centre,Two-Bedroom Apartment,single bed,double bed,12562
1280,Cosy 2 bedroom apartment in Birmingham,Two-Bedroom Apartment,,double bed,11024
1281,The Kingstanding Inn,Double Room,single bed,double bed,5594
1282,The Avenue Club and Lodge,Standard Double Room,single bed,double bed,6042
1283,"Dusk House; Luxe/Modern Townhouse, B'ham JQ",Two-Bedroom House,single bed,double bed,14190
1284,Cosy Stay In Birmingham by Villazu,One-Bedroom Apartment,single bed,double bed,11068
1285,PREMIER SUITES Birmingham,One-Bedroom Apartment,,double bed,8605
1286,KCS Birmingham City Apartment with Balcony/Parking,Two-Bedroom Apartment,,double bed,19530
1287,Dream Ensuite Rooms,Double Room with Private Bathroom,,double bed,6103
1288,Pleasant Apartment in near City Center,Double Room,,double bed,6103
1289,"Birmingham - City Centre - Plush Suite,2 Bed 2 Bath, Sleeps 6 - Bullring 6 min walk, Free WIFI & NETFLIX- Contractors",Two-Bedroom Apartment,,double bed,16524
1290,Luxury 3 Floor Townhouse Birmingham - Alara Boutique Living,Two-Bedroom Apartment,single bed,double bed,14935
1291,Aston Apartments,One-Bedroom Apartment,single bed,double bed,18262
1292,The Grey Haven Birmingham,Four-Bedroom House,single bed,double bed,50859
